PULS	CAZYS	Class	Order	Family	Specie	Ecosystem	mag
3300022861_4	68	161	Bacteroidia	Bacteroidales	Paludibacteraceae		Terrestrial	3300022861_4
3300023228_3	76	159	Bacteroidia	Bacteroidales	Paludibacteraceae		Terrestrial	3300023228_3
3300024040_10	39	37	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae		Arthropoda	3300024040_10
3300024043_10	38	37	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae		Arthropoda	3300024043_10
3300024276_2	32	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300024276_2
3300024277_5	35	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300024277_5
3300024280_5	37	25	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300024280_5
3300024282_5	42	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300024282_5
3300024285_4	45	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300024285_4
3300024298_3	33	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300024298_3
3300024311_6	42	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300024311_6
3300024312_7	82	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300024312_7
3300024320_11	48	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300024320_11
3300024326_13	38	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300024326_13
3300024328_14	37	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300024328_14
3300024350_5	33	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300024350_5
3300024351_2	30	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300024351_2
3300024354_4	36	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300024354_4
3300024356_4	39	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300024356_4
3300024357_5	35	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300024357_5
3300024358_3	34	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300024358_3
3300024359_9	36	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300024359_9
3300024490_1	26	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300024490_1
3300024491_1	28	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300024491_1
3300024492_1	33	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300024492_1
3300024494_3	41	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300024494_3
3300024498_1	29	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300024498_1
3300024499_3	29	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300024499_3
3300024501_4	37	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300024501_4
3300024502_6	29	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300024502_6
3300024504_3	26	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300024504_3
3300024506_5	34	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300024506_5
3300024507_5	37	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300024507_5
3300024509_6	35	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300024509_6
3300024510_1	31	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300024510_1
3300024511_2	32	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300024511_2
3300024512_1	32	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300024512_1
3300024514_4	31	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300024514_4
3300024515_6	36	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300024515_6
3300025061_11	38	21	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	GCF_000016885.1	Aquatic	3300025061_11
3300025248_7	34	51	Bacteroidia	Flavobacteriales	Flavobacteriaceae		Aquatic	3300025248_7
3300025280_2	76	81	Bacteroidia	Flavobacteriales	Flavobacteriaceae		Aquatic	3300025280_2
3300025291_6	44	100	Bacteroidia	Flavobacteriales	Weeksellaceae	GCF_000799375.1	Plants	3300025291_6
3300025296_6	31	61	Gammaproteobacteria	Pseudomonadales	Hahellaceae	Marinobacter adhaerens	Aquatic	3300025296_6
3300025528_13	37	126	Bacteroidia	Chitinophagales	Chitinophagaceae		Lab_enrichment	3300025528_13
3300025530_17	30	123	Bacteroidia	Chitinophagales	Chitinophagaceae		Lab_enrichment	3300025530_17
3300025542_2	83	49	Bacteroidia	Flavobacteriales	Weeksellaceae	Empedobacter falsenii	Lab_enrichment	3300025542_2
3300025624_1	46	51	Bacteroidia	Flavobacteriales	Weeksellaceae	Empedobacter falsenii	Lab_enrichment	3300025624_1
3300025651_4	55	51	Bacteroidia	Flavobacteriales	Weeksellaceae	Empedobacter falsenii	Lab_enrichment	3300025651_4
3300025846_9	100	139	Bacteroidia	Bacteroidales	Paludibacteraceae		Terrestrial	3300025846_9
3300026096_2	51	72	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia coli	Aquatic	3300026096_2
3300026288_11	29	153	Bacteroidia	Chitinophagales	Chitinophagaceae		Wastewater	3300026288_11
3300026459_7	44	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300026459_7
3300026473_6	35	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300026473_6
3300026907_2	119	57	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae		Lab_synthesis	3300026907_2
3300027079_7	28	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300027079_7
3300027157_5	29	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300027157_5
3300027160_3	33	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300027160_3
3300027162_7	37	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300027162_7
3300027306_8	38	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300027306_8
3300027339_2	63	36	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae		Aquatic	3300027339_2
3300027339_7	34	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300027339_7
3300027503_17	34	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300027503_17
3300027863_91	98	107	Bacteroidia	Bacteroidales	Paludibacteraceae		Aquatic	3300027863_91
3300028066_2	36	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300028066_2
3300028067_2	31	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300028067_2
3300028070_3	158	157	Bacteroidia	Bacteroidales	Paludibacteraceae		Terrestrial	3300028070_3
3300028073_7	42	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300028073_7
3300028083_2	32	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300028083_2
3300028084_3	104	155	Bacteroidia	Bacteroidales	Paludibacteraceae		Terrestrial	3300028084_3
3300028086_1	34	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300028086_1
3300028087_3	126	151	Bacteroidia	Bacteroidales	Paludibacteraceae		Terrestrial	3300028087_3
3300028091_6	38	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300028091_6
3300028103_5	31	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300028103_5
3300028129_12	34	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300028129_12
3300028258_5	43	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300028258_5
3300028265_1	30	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300028265_1
3300028269_1	44	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300028269_1
3300028275_6	36	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300028275_6
3300028418_10	33	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300028418_10
3300028912_1	38	81	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia coli	Human	3300028912_1
3300028954_2	31	70	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus faecalis	Human	3300028954_2
3300028963_1	35	81	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia coli	Human	3300028963_1
3300028963_4	29	51	Clostridia	Lachnospirales	Lachnospiraceae	Ruminococcus_B faecis	Human	3300028963_4
3300028965_5	48	57	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus_C paracasei	Human	3300028965_5
3300028969_6	30	71	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus faecalis	Human	3300028969_6
3300028975_5	26	23	Negativicutes	Veillonellales	Veillonellaceae	Veillonella parvula	Human	3300028975_5
3300028989_5	93	84	Clostridia	Lachnospirales	Lachnospiraceae	Ruminococcus_B gnavus	Human	3300028989_5
3300028992_5	81	67	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A wexlerae	Human	3300028992_5
3300028994_3	137	126	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium ramosum	Human	3300028994_3
3300029032_2	65	80	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia coli	Human	3300029032_2
3300029044_11	51	23	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus intestini	Human	3300029044_11
3300029044_14	64	43	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus_B ruminis	Human	3300029044_14
3300029051_9	165	64	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	GCF_001078315.1	Human	3300029051_9
3300029065_1	29	188	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides fragilis	Human	3300029065_1
3300029065_2	78	69	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_B faecium	Human	3300029065_2
3300029066_3	40	69	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus faecalis	Human	3300029066_3
3300029068_5	64	67	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus faecalis	Human	3300029068_5
3300029071_3	58	139	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium ramosum	Human	3300029071_3
3300029073_4	34	67	Clostridia	Lachnospirales	Lachnospiraceae	Ruminococcus_B gnavus	Human	3300029073_4
3300029074_5	83	148	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium ramosum	Human	3300029074_5
3300029080_10	62	40	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium prausnitzii_B	Human	3300029080_10
3300029081_3	70	85	Clostridia	Lachnospirales	Lachnospiraceae		Human	3300029081_3
3300029084_4	51	70	Clostridia	Lachnospirales	Lachnospiraceae	Ruminococcus_B gnavus	Human	3300029084_4
3300029086_7	67	67	Clostridia	Lachnospirales	Lachnospiraceae	Ruminococcus_B gnavus	Human	3300029086_7
3300029088_6	57	64	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus_C paracasei	Human	3300029088_6
3300029103_8	46	64	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus eutactus_A	Human	3300029103_8
3300029111_10	55	18	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Sutterella wadsworthensis	Human	3300029111_10
