genome_id	metagenome_id	division	phylum	class	order	family	specie	genome_length	num_contigs	n50	num_16s	num_5s	num_23s	num_trna	completeness	contamination	quality_score	mimag_quality	otu_id	ecosystem_category	ecosystem_type	habitat	longitude	latitude	PULsFrequency	CAZysFrequency
3300006292_8	3300006292	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium matruchotii	2827811	13	409690	2	4	1	54	99.89	0	99.89	HQ	OTU-6459	Human	Digestive system	Human	-77.1012	39.0043	12	51
3300006307_14	3300006307	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Veillonellaceae	Veillonella parvula	2048392	38	88826	1	1	0	38	100	0	100	MQ	OTU-2260	Human	Digestive system	Human	-77.1012	39.0043	34	28
3300006312_13	3300006312	Bacteria	Firmicutes_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus intestini	2105946	58	56570	1	1	1	38	100	0	100	MQ	OTU-11350	Human	Digestive system	Human	-77.1012	39.0043	52	22
3300006441_1	3300006441	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus epidermidis	2476256	32	134727	2	2	1	39	99.67	0.03	99.52	HQ	OTU-10295	Human	Skin	Human	-77.1012	39.0043	29	28
3300006460_20	3300006460	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Megasphaeraceae	Anaeroglobus micronuciformis	1724641	19	137028	1	3	1	44	100	0	100	HQ	OTU-2030	Human	Digestive system	Human	-77.1012	39.0043	18	21
3300006464_8	3300006464	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella intestinihominis	3110901	26	244096	1	1	1	50	99.62	0	99.62	HQ	OTU-8643	Human	Digestive system	Human	-77.1012	39.0043	12	121
3300006476_10	3300006476	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter rectalis	2897255	35	117254	3	0	3	44	99.52	0	99.52	MQ	OTU-6831	Human	Digestive system	Human	-77.1012	39.0043	30	66
3300006487_4	3300006487	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Sutterella wadsworthensis	2524846	62	61482	2	2	1	55	100	0	100	HQ	OTU-937	Human	Digestive system	Human	-77.1012	39.0043	62	18
3300006488_1	3300006488	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga gingivalis	2674839	46	119761	1	1	2	49	100	0	100	HQ	OTU-2130	Human	Digestive system	Human	-77.1012	39.0043	40	39
3300006498_11	3300006498	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Micrococcaceae	Rothia dentocariosa	2394270	23	203603	1	2	1	50	99.34	0	99.34	HQ	OTU-1379	Human	Digestive system	Human	-77.1012	39.0043	22	33
3300006510_1	3300006510	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus gasseri	1850734	44	67395	0	3	0	35	99.22	0	99.22	MQ	OTU-3078	Human	Reproductive system	Human	-77.1012	39.0043	41	43
3300006517_10	3300006517	Bacteria	Synergistota	Synergistia	Synergistales	Aminobacteriaceae	Aminobacterium colombiense	1965595	30	151972	3	1	0	48	100	0	100	MQ	OTU-812	Wastewater	Anaerobic digestor	Wastewater	-122.296	37.8259	28	20
3300006517_8	3300006517	Archaea	Halobacterota	Methanosarcinia	Methanosarcinales	Methanosarcinaceae	GCA_001896725.1	2075524	21	215262	0	0	0	48	99.18	0	99.18	MQ	OTU-2573	Wastewater	Anaerobic digestor	Wastewater	-122.296	37.8259	17	21
3300006522_4	3300006522	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium matruchotii	2818135	11	391752	1	4	1	56	99.89	0	99.89	HQ	OTU-6459	Human	Digestive system	Human	-77.1012	39.0043	10	51
3300006523_8	3300006523	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella intestinihominis	3274100	28	193780	0	0	0	50	99.62	0	99.62	MQ	OTU-8643	Human	Digestive system	Human	-77.1012	39.0043	16	121
3300006568_8	3300006568	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus eutactus_A	2941456	26	188271	1	0	1	42	99.33	0	99.33	MQ	OTU-364	Human	Digestive system	Human	-77.1012	39.0043	20	65
3300006832_7	3300006832	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Neisseriaceae		2071456	14	315355	0	0	0	49	99.02	0	99.02	MQ	OTU-1837	Human	Digestive system	Human	-77.1012	39.0043	12	27
3300006913_10	3300006913	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae_B		1787632	37	73145	0	1	1	39	99.33	0	99.33	MQ	OTU-6230	Annelida	Digestive system	Marine gutless worms symbiont	12.3946	51.3216	33	23
3300006979_2	3300006979	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Atopobium_A vaginae	1426464	26	92013	1	1	1	44	100	0	100	HQ	OTU-15073	Human	Reproductive system	Human	-77.1012	39.0043	25	18
3300007039_1	3300007039	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Haemophilus_D influenzae	2128984	39	102562	1	1	1	45	99.89	0	99.89	HQ	OTU-6020	Human	Digestive system	Human	-77.1012	39.0043	35	31
3300007043_6	3300007043	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter rectalis	3093309	61	118950	1	1	3	47	99.52	0	99.52	HQ	OTU-6831	Human	Digestive system	Human	-77.1012	39.0043	51	70
3300007068_7	3300007068	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae		1344077	17	131664	0	0	0	35	99.46	0	99.46	MQ	OTU-7252	Arthropoda	Digestive system	ant gut	-70.1	-12.5	15	22
3300007098_3	3300007098	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter splanchnicus	4106475	140	41994	1	4	1	57	99.46	0	99.46	HQ	OTU-17151	Human	Digestive system	Human	-77.1012	39.0043	125	61
3300007109_9	3300007109	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Eubacterium_D sp1	2840193	54	99485	1	1	1	42	100	0	100	HQ	OTU-1680	Human	Digestive system	Human	-77.1012	39.0043	50	45
3300007120_11	3300007120	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas endodontalis	1987979	8	312672	1	3	2	47	99.29	0	99.29	HQ	OTU-4300	Human	Digestive system	Human	-77.1012	39.0043	6	17
3300007126_4	3300007126	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium matruchotii	2843338	27	180912	1	4	1	48	99.89	0	99.89	HQ	OTU-6459	Human	Digestive system	Human	-77.1012	39.0043	24	51
3300007135_8	3300007135	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Veillonellaceae	Veillonella parvula	1906170	96	27775	3	2	1	33	99.4	0	99.4	HQ	OTU-2260	Human	Digestive system	Human	-77.1012	39.0043	86	21
3300007222_12	3300007222	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella intestinihominis	3153860	28	157198	1	1	2	48	99.25	0	99.25	HQ	OTU-8643	Human	Digestive system	Human	-77.1012	39.0043	18	118
3300007272_13	3300007272	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Megasphaeraceae	28L sp1	1639801	20	110817	1	2	0	51	100	0	100	MQ	OTU-2786	Human	Reproductive system	Human	-77.1012	39.0043	19	16
3300007298_11	3300007298	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella intestinihominis	3108258	48	185333	1	0	0	50	99.25	0	99.25	MQ	OTU-8643	Human	Digestive system	Human	-77.1012	39.0043	30	123
3300007313_3	3300007313	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	GCF_001517625.2	3110056	42	108740	1	1	1	53	99.37	0	99.37	HQ	OTU-7932	Human	Digestive system	Human	-77.1012	39.0043	40	72
3300007316_22	3300007316	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae		1703533	50	49722	1	2	1	22	99.45	0	99.45	MQ	OTU-17141	Human	Digestive system	Human	-77.1012	39.0043	46	33
3300007345_6	3300007345	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Marinomonadaceae		4397294	38	171090	0	3	0	58	100	0	100	MQ	OTU-17715	Aquatic	Marine	Aqueous	-75.2499	39.1302	37	49
3300007345_7	3300007345	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae		4302497	33	242944	0	0	0	43	99.25	0	99.25	MQ	OTU-3468	Aquatic	Marine	Aqueous	-75.2499	39.1302	31	65
3300007346_4	3300007346	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae		4304811	15	668402	0	0	0	43	99.66	0	99.66	MQ	OTU-3468	Aquatic	Marine	Aqueous	-75.2609	39.1248	14	65
3300007360_16	3300007360	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Butyrivibrio_A crossotus	2115080	28	141089	1	0	1	41	99.33	0	99.33	MQ	OTU-16045	Human	Digestive system	Human	-77.1012	39.0043	25	39
3300007360_8	3300007360	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Sutterella wadsworthensis	2854660	64	84378	1	1	1	50	100	0.05	99.75	HQ	OTU-937	Human	Digestive system	Human	-77.1012	39.0043	58	21
3300007498_10	3300007498	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae		3161539	30	135601	2	1	1	56	99.62	0	99.62	HQ	OTU-15346	Human	Digestive system	Human	-77.1012	39.0043	22	81
3300007500_21	3300007500	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae		1826583	20	148815	0	0	0	32	100	0	100	MQ	OTU-5922	Human	Digestive system	Human	-77.1012	39.0043	19	28
3300007500_43	3300007500	Bacteria	Firmicutes	Bacilli	Mycoplasmatales	Mycoplasmataceae_B	Mycoplasma_D salivarium	709832	7	382192	1	1	1	33	100	0	100	HQ	OTU-5268	Human	Digestive system	Human	-77.1012	39.0043	5	0
3300007500_8	3300007500	Bacteria	Spirochaetota	Spirochaetia	Treponematales	Treponemataceae		2693399	59	70967	0	1	0	45	99.19	0	99.19	MQ	OTU-1943	Human	Digestive system	Human	-77.1012	39.0043	55	33
3300007501_11	3300007501	Bacteria	Firmicutes	Bacilli	Haloplasmatales	Turicibacteraceae	Turicibacter sanguinis	2931270	36	127411	0	2	0	28	99.4	0	99.4	MQ	OTU-1100	Human	Digestive system	Human	-77.1012	39.0043	35	88
3300007527_8	3300007527	Bacteria	Spirochaetota	Spirochaetia	Treponematales	Treponemataceae		2626045	104	33668	1	2	0	46	99.19	0	99.19	MQ	OTU-1943	Human	Digestive system	Human	-77.1012	39.0043	99	33
3300007531_19	3300007531	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae		1916044	16	252031	1	2	2	45	99.61	0	99.61	HQ	OTU-11972	Human	Digestive system	Human	-77.1012	39.0043	14	17
3300007566_14	3300007566	Bacteria	Spirochaetota	Spirochaetia	Treponematales	Treponemataceae		2086090	114	25174	1	2	1	41	99.19	0	99.19	HQ	OTU-7770	Human	Digestive system	Human	-77.1012	39.0043	95	26
3300007646_13	3300007646	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Veillonellaceae	Veillonella parvula	2106415	18	268735	0	3	0	37	99.4	0	99.4	MQ	OTU-2260	Human	Digestive system	Human	-77.1012	39.0043	17	26
3300007648_16	3300007648	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae		1830799	12	264832	1	1	1	34	100	0	100	HQ	OTU-11791	Human	Digestive system	Human	-77.1012	39.0043	11	31
3300007705_5	3300007705	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella intestinihominis	3139586	25	187741	1	1	1	50	99.62	0	99.62	HQ	OTU-8643	Human	Digestive system	Human	-77.1012	39.0043	11	113
3300007732_6	3300007732	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Veillonellaceae	Veillonella parvula	2107402	14	238684	1	3	1	39	100	0	100	HQ	OTU-2260	Human	Digestive system	Human	-77.1012	39.0043	13	22
3300007796_19	3300007796	Bacteria	Firmicutes_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus intestini	2058155	73	44204	1	1	1	48	99.28	0	99.28	HQ	OTU-11350	Human	Digestive system	Human	-77.1012	39.0043	64	23
3300007806_6	3300007806	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella intestinihominis	3226396	22	236899	2	1	2	48	99.62	0	99.62	HQ	OTU-8643	Human	Digestive system	Human	-77.1012	39.0043	10	117
3300007825_2	3300007825	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Haemophilus_D influenzae	2125544	25	137798	0	1	0	40	99.66	0	99.66	MQ	OTU-6020	Human	Digestive system	Human	-77.1012	39.0043	21	31
3300007853_2	3300007853	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter splanchnicus	4258581	66	86328	2	4	1	51	99.46	0	99.46	HQ	OTU-17151	Human	Digestive system	Human	-77.1012	39.0043	54	65
3300007853_9	3300007853	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Coprobacteraceae		3476061	21	301015	1	2	1	55	99.62	0	99.62	HQ	OTU-1569	Human	Digestive system	Human	-77.1012	39.0043	8	156
3300007874_1	3300007874	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus gasseri	1855136	40	58191	0	1	0	37	99.22	0	99.22	MQ	OTU-3078	Human	Reproductive system	Human	-77.1012	39.0043	37	39
3300007919_1	3300007919	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Haemophilus_D influenzae	2028679	15	260093	1	5	1	42	99.66	0	99.66	HQ	OTU-6020	Human	Digestive system	Human	-77.1012	39.0043	11	30
3300007921_6	3300007921	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella intestinihominis	3147839	26	249301	1	1	2	53	99.62	0	99.62	HQ	OTU-8643	Human	Digestive system	Human	-77.1012	39.0043	13	124
3300007921_9	3300007921	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus sp1	2562863	31	133001	1	0	1	38	99.33	0	99.33	MQ	OTU-14765	Human	Digestive system	Human	-77.1012	39.0043	26	42
3300007996_16	3300007996	Bacteria	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae		1651322	17	150988	1	2	1	37	99.29	0	99.29	HQ	OTU-1061	Human	Digestive system	Human	-77.1012	39.0043	16	7
3300008060_4	3300008060	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Paraprevotella clara	3702841	49	110815	2	0	0	56	99.26	0	99.26	MQ	OTU-11888	Human	Digestive system	Human	-77.1012	39.0043	29	171
3300008060_5	3300008060	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella intestinihominis	3146885	23	247653	0	0	0	49	99.62	0	99.62	MQ	OTU-8643	Human	Digestive system	Human	-77.1012	39.0043	13	123
3300008073_10	3300008073	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Veillonellaceae	Veillonella parvula	2073737	39	94261	1	3	1	33	100	0	100	MQ	OTU-2260	Human	Digestive system	Human	-77.1012	39.0043	36	22
3300008083_7	3300008083	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Veillonellaceae	Veillonella parvula	2117947	25	105988	1	2	1	39	100	0	100	HQ	OTU-2260	Human	Digestive system	Human	-77.1012	39.0043	24	23
3300008101_9	3300008101	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella intestinihominis	3151549	28	342736	0	1	1	52	99.62	0	99.62	MQ	OTU-8643	Human	Digestive system	Human	-77.1012	39.0043	16	123
3300008102_6	3300008102	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae		1984831	81	37833	2	1	2	34	100	0	100	HQ	OTU-17487	Human	Digestive system	Human	-77.1012	39.0043	68	30
3300008103_10	3300008103	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella intestinihominis	3169978	17	350972	3	1	0	52	99.25	0	99.25	MQ	OTU-8643	Human	Digestive system	Human	-77.1012	39.0043	7	114
3300008123_15	3300008123	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae		1846035	23	126864	0	0	0	40	100	0	100	MQ	OTU-5259	Human	Digestive system	Human	-77.1012	39.0043	21	27
3300008134_16	3300008134	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae		1779013	39	73995	1	3	2	32	100	0	100	HQ	OTU-17487	Human	Digestive system	Human	-77.1012	39.0043	35	30
3300008136_4	3300008136	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella shahii	3204473	68	74396	1	2	1	45	99.66	0	99.66	HQ	OTU-11680	Human	Digestive system	Human	-77.1012	39.0043	50	80
3300008153_7	3300008153	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Neisseriaceae		2126805	32	122191	0	0	0	50	99.02	0	99.02	MQ	OTU-1837	Human	Digestive system	Human	-77.1012	39.0043	31	30
3300008153_9	3300008153	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae		1875748	22	138574	1	1	1	33	100	0	100	HQ	OTU-11791	Human	Digestive system	Human	-77.1012	39.0043	20	30
3300008155_19	3300008155	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae		1902308	21	195975	1	0	0	32	100	0	100	MQ	OTU-7159	Human	Digestive system	Human	-77.1012	39.0043	19	30
3300008268_8	3300008268	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter splanchnicus	4161324	122	52696	1	3	0	53	99.46	0	99.46	MQ	OTU-17151	Human	Digestive system	Human	-77.1012	39.0043	104	67
3300008269_26	3300008269	Bacteria	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae		1598443	40	57370	1	2	1	28	99.29	0	99.29	MQ	OTU-1061	Human	Digestive system	Human	-77.1012	39.0043	36	6
3300008283_13	3300008283	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae		1764823	33	90159	1	1	1	40	100	0	100	HQ	OTU-5637	Human	Digestive system	Human	-77.1012	39.0043	29	24
3300008325_2	3300008325	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium acnes	2586939	24	297107	1	0	1	47	100	0	100	MQ	OTU-5257	Human	Skin	Human	NULL	NULL	20	52
3300008325_4	3300008325	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae		2035254	9	314911	0	1	1	46	99.01	0	99.01	MQ	OTU-16027	Human	Skin	Human	NULL	NULL	8	26
3300008333_8	3300008333	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Neisseriaceae		2139347	28	114856	0	0	0	45	99.25	0	99.25	MQ	OTU-1837	Human	Digestive system	Human	NULL	NULL	24	29
3300008361_9	3300008361	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella intestinihominis	3319514	29	208641	1	1	2	52	99.62	0	99.62	HQ	OTU-8643	Human	Digestive system	Human	NULL	NULL	19	121
3300008404_7	3300008404	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus eutactus	2842432	25	190808	1	1	1	46	99.33	0	99.33	HQ	OTU-7251	Human	Digestive system	Human	NULL	NULL	20	61
3300008405_8	3300008405	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae		1818801	43	71443	0	1	1	33	100	0	100	MQ	OTU-6690	Human	Digestive system	Human	NULL	NULL	41	31
3300008406_19	3300008406	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae		1809980	16	194524	1	1	2	34	100	0	100	HQ	OTU-11791	Human	Digestive system	Human	NULL	NULL	15	30
3300008431_1	3300008431	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Haemophilus_D influenzae	2015456	50	56653	1	5	1	42	99.2	0	99.2	HQ	OTU-6020	Human	Digestive system	Human	NULL	NULL	42	30
3300008436_12	3300008436	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae		1827150	11	304233	1	0	1	32	100	0	100	MQ	OTU-11791	Human	Digestive system	Human	NULL	NULL	10	31
3300008485_3	3300008485	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Veillonellaceae	Veillonella parvula	2022972	36	86732	1	1	1	35	100	0	100	HQ	OTU-2260	Human	Digestive system	Human	-77.1012	39.0043	34	23
3300008493_10	3300008493	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Neisseriaceae		2162751	15	186403	0	0	0	49	99.02	0	99.02	MQ	OTU-1837	Human	Digestive system	Human	-77.1012	39.0043	13	30
3300008504_7	3300008504	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae		1824637	16	176007	1	1	2	36	100	0	100	HQ	OTU-11791	Human	Digestive system	Human	NULL	NULL	15	31
3300008512_6	3300008512	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella intestinihominis	3212250	15	296844	1	0	1	53	99.62	0	99.62	MQ	OTU-8643	Human	Digestive system	Human	NULL	NULL	7	122
