MAGs	PULS	CAZY	Ecosystem	Class	Order	Family
3300011924_1	61	49	Built_environment	Actinobacteria	Actinomycetales	Dermatophilaceae
3300011931_1	72	23	Built_environment	Gammaproteobacteria	Pseudomonadales	Moraxellaceae
3300011953_5	40	50	Built_environment	Bacteroidia	Flavobacteriales	Weeksellaceae
3300011954_2	44	38	Built_environment	Gammaproteobacteria	Pseudomonadales	Moraxellaceae
3300011956_3	52	50	Built_environment	Bacteroidia	Flavobacteriales	Weeksellaceae
3300011958_3	36	51	Built_environment	Bacteroidia	Flavobacteriales	Weeksellaceae
3300011967_6	39	29	Human	Fusobacteriia	Fusobacteriales	Fusobacteriaceae
3300011976_12	96	18	Human	Spirochaetia	Treponematales	Treponemataceae
3300011985_10	83	34	Human	Spirochaetia	Treponematales	Treponemataceae
3300011985_8	57	23	Human	Spirochaetia	Treponematales	Treponemataceae
3300012131_2	29	83	Fungi	Actinobacteria	Corynebacteriales	Corynebacteriaceae
3300012214_1	18	50	Human	Actinobacteria	Propionibacteriales	Propionibacteriaceae
3300012229_2	17	70	Built_environment	Bacilli	Lactobacillales	Enterococcaceae
3300012241_5	7	70	Built_environment	Bacilli	Lactobacillales	Enterococcaceae
3300012259_1	64	81	Built_environment	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae
3300012270_7	92	56	Aquatic	Bacteroidia	Flavobacteriales	Cryomorphaceae
3300012283_6	55	55	Built_environment	Bacteroidia	Flavobacteriales	Weeksellaceae
3300012295_1	16	50	Human	Actinobacteria	Propionibacteriales	Propionibacteriaceae
3300012428_1	51	52	Human	Actinobacteria	Propionibacteriales	Propionibacteriaceae
3300012434_1	17	45	Human	Actinobacteria	Propionibacteriales	Propionibacteriaceae
3300012458_1	32	50	Human	Actinobacteria	Propionibacteriales	Propionibacteriaceae
3300012466_1	61	76	Human	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
3300012538_1	40	50	Human	Actinobacteria	Propionibacteriales	Propionibacteriaceae
3300012543_1	22	98	Built_environment	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae
3300012545_2	40	39	Human	Actinobacteria	Corynebacteriales	Corynebacteriaceae
3300012549_1	86	47	Human	Actinobacteria	Propionibacteriales	Propionibacteriaceae
3300012567_1	21	47	Human	Actinobacteria	Propionibacteriales	Propionibacteriaceae
3300012589_1	9	45	Human	Actinobacteria	Propionibacteriales	Propionibacteriaceae
3300012659_1	40	36	Human	Actinobacteria	Corynebacteriales	Corynebacteriaceae
3300012661_2	41	36	Human	Actinobacteria	Corynebacteriales	Corynebacteriaceae
3300012790_1	55	70	Terrestrial	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
3300012791_1	9	72	Terrestrial	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
3300012798_7	21	122	Insecta	Actinobacteria	Actinomycetales	Cellulomonadaceae
3300012802_3	15	218	Birds	Bacteroidia	Flavobacteriales	Flavobacteriaceae
3300012806_5	23	153	Insecta	Actinobacteria	Actinomycetales	Cellulomonadaceae
3300012808_9	57	57	Terrestrial	Alphaproteobacteria	Rhizobiales	Devosiaceae
3300012810_2	14	219	Birds	Bacteroidia	Flavobacteriales	Flavobacteriaceae
3300012810_6	46	92	Birds	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae
3300012811_5	100	121	Terrestrial	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae
3300012811_6	22	122	Terrestrial	Actinobacteria	Actinomycetales	Cellulomonadaceae
3300012816_1	13	204	Terrestrial	Bacteroidia	Flavobacteriales	Flavobacteriaceae
3300012816_3	69	132	Terrestrial	Alphaproteobacteria	Caulobacterales	Caulobacteraceae
3300012816_5	71	154	Terrestrial	Bacteroidia	Chitinophagales	Chitinophagaceae
3300012816_9	15	122	Terrestrial	Actinobacteria	Actinomycetales	Cellulomonadaceae
3300012820_3	68	40	Insecta	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae
3300012821_9	17	122	Terrestrial	Actinobacteria	Actinomycetales	Cellulomonadaceae
3300012822_4	18	62	Terrestrial	Bacteroidia	Flavobacteriales	Weeksellaceae
3300012823_4	42	53	Birds	Alphaproteobacteria	Rhizobiales	Devosiaceae
3300012823_5	8	72	Birds	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
3300012826_6	58	126	Terrestrial	Bacteroidia	Chitinophagales	Chitinophagaceae
3300012827_4	4	191	Terrestrial	Bacteroidia	Flavobacteriales	Flavobacteriaceae
3300012830_6	22	146	Terrestrial	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae
3300012835_7	23	66	Insecta	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
3300012839_10	23	122	Insecta	Actinobacteria	Actinomycetales	Cellulomonadaceae
3300012842_10	18	122	Terrestrial	Actinobacteria	Actinomycetales	Cellulomonadaceae
3300012842_2	74	131	Terrestrial	Alphaproteobacteria	Caulobacterales	Caulobacteraceae
3300012842_6	62	153	Terrestrial	Bacteroidia	Chitinophagales	Chitinophagaceae
3300012843_4	4	191	Terrestrial	Bacteroidia	Flavobacteriales	Flavobacteriaceae
3300012844_5	17	199	Terrestrial	Bacteroidia	Flavobacteriales	Flavobacteriaceae
3300012845_8	16	122	Insecta	Actinobacteria	Actinomycetales	Cellulomonadaceae
3300012846_11	33	43	Insecta	Bacteroidia	Chitinophagales	Chitinophagaceae
3300012849_8	19	122	Insecta	Actinobacteria	Actinomycetales	Cellulomonadaceae
3300012858_7	23	58	Insecta	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
3300012859_12	14	69	Terrestrial	Actinobacteria	Actinomycetales	Microbacteriaceae
3300012859_8	13	122	Terrestrial	Actinobacteria	Actinomycetales	Cellulomonadaceae
3300012862_7	24	123	Terrestrial	Actinobacteria	Actinomycetales	Cellulomonadaceae
3300012879_6	25	273	Terrestrial	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae
3300012880_4	16	181	Terrestrial	Bacteroidia	Flavobacteriales	Flavobacteriaceae
3300012886_26	34	28	Bioreactor	Synergistia	Synergistales	Synergistaceae
3300012889_21	35	29	Bioreactor	Clostridia	Oscillospirales	Oscillospiraceae
3300012921_25	37	33	Terrestrial	Alphaproteobacteria	Sneathiellales	Ferrovibrionaceae
3300012940_62	27	81	Terrestrial	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae
3300012999_18	16	61	Fungi	Alphaproteobacteria	Acetobacterales	Acetobacteraceae
3300013014_21	156	83	Aquatic	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae
3300013094_16	46	109	Aquatic	Bacteroidia	Chitinophagales	Chitinophagaceae
3300013138_52	130	40	Aquatic	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae
3300013238_1	41	30	Human	Actinobacteria	Actinomycetales	Micrococcaceae
3300013290_4	63	36	Terrestrial	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae
3300013352_3	22	76	Built_environment	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
3300013406_1	28	50	Human	Actinobacteria	Propionibacteriales	Propionibacteriaceae
3300013414_12	50	62	Animal	Spirochaetia	Treponematales	Treponemataceae
3300013497_2	50	56	Built_environment	Bacilli	Brevibacillales	Brevibacillaceae
3300013570_1	33	28	Human	Bacilli	Staphylococcales	Staphylococcaceae
3300013599_1	3	88	Built_environment	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae
3300013621_1	36	70	Built_environment	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
3300013637_2	37	39	Human	Actinobacteria	Corynebacteriales	Corynebacteriaceae
3300013646_2	11	110	Built_environment	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae
3300013667_2	47	98	Built_environment	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae
3300013669_2	13	78	Built_environment	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
3300013703_1	40	43	Built_environment	Gammaproteobacteria	Pseudomonadales	Moraxellaceae
3300013715_2	10	51	Human	Actinobacteria	Propionibacteriales	Propionibacteriaceae
3300013723_1	40	122	Built_environment	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae
3300013724_2	12	97	Built_environment	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae
3300013855_2	4	96	Built_environment	Bacteroidia	Flavobacteriales	Weeksellaceae
3300013880_4	39	31	Lab_enrichment	Synergistia	Synergistales	Thermovirgaceae
3300013916_1	17	109	Built_environment	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae
3300013921_3	72	51	Built_environment	Bacteroidia	Flavobacteriales	Weeksellaceae
3300013981_1	28	89	Built_environment	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
3300014005_3	10	68	Built_environment	Bacteroidia	Flavobacteriales	Weeksellaceae
3300014014_1	76	39	Built_environment	Gammaproteobacteria	Pseudomonadales	Moraxellaceae
3300014045_1	11	74	Built_environment	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
3300014048_5	20	60	Built_environment	Bacilli	Exiguobacterales	Exiguobacteraceae
3300014062_2	94	41	Built_environment	Gammaproteobacteria	Pseudomonadales	Moraxellaceae
3300014070_3	52	43	Built_environment	Gammaproteobacteria	Pseudomonadales	Moraxellaceae
3300014094_4	54	36	Built_environment	Gammaproteobacteria	Pseudomonadales	Moraxellaceae
3300014095_7	32	83	Built_environment	Bacteroidia	Flavobacteriales	Weeksellaceae
3300014131_2	35	23	Human	Negativicutes	Veillonellales	Veillonellaceae
3300014196_10	47	22	Human	Coriobacteriia	Coriobacteriales	Atopobiaceae
3300014497_10	43	97	Plants	Bacteroidia	Flavobacteriales	Weeksellaceae
3300014514_2	36	248	Human	Bacteroidia	Bacteroidales	Bacteroidaceae
3300014514_3	65	78	Human	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae
3300014517_2	79	21	Bioremediation	Desulfitobacteriia	Desulfitobacteriales	Syntrophobotulaceae
3300014519_5	25	72	Human	Bacilli	Lactobacillales	Enterococcaceae
3300014520_4	67	80	Human	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae
3300014524_4	70	40	Built_environment	Gammaproteobacteria	Pseudomonadales	Moraxellaceae
3300014527_5	53	76	Human	Bacilli	Lactobacillales	Lactobacillaceae
3300014528_8	22	64	Human	Actinobacteria	Actinomycetales	Bifidobacteriaceae
3300014529_2	35	74	Human	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae
3300014533_6	66	66	Human	Bacilli	Erysipelotrichales	Erysipelotrichaceae
3300014541_6	40	23	Human	Negativicutes	Acidaminococcales	Acidaminococcaceae
3300014543_9	75	60	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300014558_5	36	56	Human	Clostridia	Oscillospirales	Ruminococcaceae
3300014561_6	47	68	Human	Bacteroidia	Bacteroidales	Rikenellaceae
3300014570_13	14	55	Human	Actinobacteria	Actinomycetales	Bifidobacteriaceae
3300014595_4	8	80	Built_environment	Bacteroidia	Flavobacteriales	Weeksellaceae
3300014597_2	43	76	Human	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae
3300014602_2	60	41	Built_environment	Gammaproteobacteria	Pseudomonadales	Moraxellaceae
3300014609_4	17	68	Built_environment	Bacilli	Lactobacillales	Enterococcaceae
3300014616_2	68	41	Built_environment	Bacilli	Lactobacillales	Enterococcaceae
3300014620_1	65	78	Human	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae
3300014621_1	6	83	Built_environment	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae
3300014623_1	43	63	Built_environment	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae
3300014630_4	10	69	Built_environment	Bacilli	Lactobacillales	Enterococcaceae
3300014645_1	45	123	Built_environment	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae
3300014666_4	32	50	Built_environment	Bacilli	Exiguobacterales	Exiguobacteraceae
3300014669_2	16	165	Built_environment	Bacteroidia	Bacteroidales	Dysgonomonadaceae
3300014671_2	19	86	Built_environment	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae
3300014678_2	35	120	Built_environment	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae
3300014684_2	26	53	Built_environment	Alphaproteobacteria	Caulobacterales	Caulobacteraceae
3300014700_6	34	83	Built_environment	Bacteroidia	Flavobacteriales	Weeksellaceae
3300014721_2	23	221	Human	Bacteroidia	Bacteroidales	Bacteroidaceae
3300014728_1	41	75	Built_environment	Bacteroidia	Flavobacteriales	Weeksellaceae
3300014731_4	19	72	Human	Bacilli	Lactobacillales	Enterococcaceae
3300014749_6	60	63	Human	Bacilli	Lactobacillales	Lactobacillaceae
3300014755_12	48	23	Human	Negativicutes	Acidaminococcales	Acidaminococcaceae
3300014778_10	45	69	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300014780_5	138	81	Human	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae
3300014783_10	88	18	Human	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae
3300014783_5	10	114	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300014792_14	26	61	Human	Actinobacteria	Actinomycetales	Bifidobacteriaceae
3300014803_14	76	17	Human	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae
3300014824_11	29	127	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300014901_2	54	38	Built_environment	Gammaproteobacteria	Pseudomonadales	Moraxellaceae
3300014916_3	92	64	Human	Bacilli	Erysipelotrichales	Erysipelotrichaceae
3300014921_5	47	92	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300014927_3	15	198	Human	Bacteroidia	Bacteroidales	Bacteroidaceae
3300014927_6	55	72	Human	Bacilli	Erysipelotrichales	Erysipelotrichaceae
3300014936_6	52	67	Human	Bacilli	Erysipelotrichales	Erysipelotrichaceae
3300014944_9	18	65	Human	Actinobacteria	Actinomycetales	Bifidobacteriaceae
3300014946_5	25	122	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300014951_5	50	80	Human	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae
3300014953_8	48	65	Human	Bacilli	Lactobacillales	Enterococcaceae
3300014956_10	66	55	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300014970_5	72	75	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300014970_8	41	70	Human	Bacilli	Lactobacillales	Enterococcaceae
3300014972_2	67	77	Human	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae
3300015214_60	84	16	Solid_waste	Methanosarcinia	Methanotrichales	Methanotrichaceae
3300015214_66	48	24	Solid_waste	Cloacimonadia	Cloacimonadales	Cloacimonadaceae
3300015214_82	85	22	Solid_waste	Synergistia	Synergistales	Thermovirgaceae
3300017419_20	57	35	Aquatic	Thermodesulfovibrionia	Thermodesulfovibrionales	Thermodesulfovibrionaceae
3300017444_49	15	84	Aquatic	Bacteroidia	Chitinophagales	Chitinophagaceae
3300017560_8	2	153	Terrestrial	Bacteroidia	Chitinophagales	Chitinophagaceae
